content,score,text_processed,topic
"Aku dulu pernah main ni game dan itu seru banget, tapi sekarang aku malah gabisa main karna pas aku mainin malah layar nya jadi hitam dan gabisa di apa apain tolong di perbaikiya udah gasabar main nih",3,main seru banget gabisa pas mainin layar hitam gabisa apain tolong perbaikiya gasabar main,koneksi
Tolong ditambah fitur untuk reset lvl atma,5,tolong ditambah fitur reset lvl,bahasa atau cerita
"Baru juga awal tutorial, sudah ketemu bug saja, this is the worst game ever.",1,tutorial ketemu bug worst ever,perangkat hp
"Pemuatan nya agak lama,efek skill karakter bagus,cuma terlalu kaku kayak kartu",2,muat efek skill karakter bagus kaku kartu,bahasa atau cerita
"Gemnya keren banget asli. Dari segi grafik, gameplay sama lagunya menarik, gachanya jg bagus². Sedikit saran tolong tambahkan atma seperti baya,sima,malin kundang,mariaban, begu ganjang,parang irang,jerangkong,lele truna dll.",5,keren banget asli segi grafik gameplay tarik gachanya bagus saran tolong tambahkan atma baya malin kundang mariaban begu ganjang parang irang jerangkong lele truna dll,bahasa atau cerita
Ngefrezze mulu. Haduhhh gmn mau mainnya nih,2,ngefrezze mulu haduhhh gmn,koneksi
"Kenapa ya, pemuatannya lama banget apa black screen?? Soalnya cuman ada soundnya doang gambarnya gak ada padahal internet kenceng",3,banget black screen cuman doang tidak internet kenceng,koneksi
"Dulu code atma tuh app fav banget, tapi setelah ganti Smartphone login ke akun lama jadi gabisa, malah create yg baru",4,code atma app fav banget ganti smartphone login akun gabisa create,koneksi
"Tolong dong dev bisa login dan logout, karna saya baru main lagi jadi ajak lupa akunnya yang mana. Jadi ribet aja gitu kalo salah akun harus di restart aplikasi dulu ke pengaturan hp. Pliss🙏🙏",4,tolong dev login logout main ajak lupa akunnya ribet salah akun restart aplikasi atur hp pliss,koneksi
Akhir nya Ada bahasa Indonesia Makasih Dev sudah Menambahkan LGI bahasa Indonesia 👍👍👍,5,bahasa indonesia makasih dev lgi bahasa indonesia,bahasa atau cerita
"Bagus bet, tapi visual perlu dikembangkan lagi",5,bagus bet visual dikembangkan,bahasa atau cerita
Dipercepat pembaharuan cerita ch 8 keatas,1,dipercepat pembaharuan ch keatas,karakter gacha
Salah Satu Game Indo RPG Paling Menarik,5,salah indonesia rpg tarik,karya bangsa
Gamenya menarik. Namun entah kenapa dalam pemuatan game terasa berat untuk Smartphone redmi 7,4,tarik muat berat smartphone redmi,perangkat hp
"Tolong sempurnakan lagi dan tambahkan tokoh aji saka berserta dora, sembada, dewata chenkang dan jaka linglung",4,tolong sempurnakan tambahkan tokoh aji beserta dora dewata chenkang linglung,karya bangsa
"Nice Edite : jangan tutup lah Min baru juga 2 taun Dan kalo ada masalah diperbaiki ( intinya jangan sampe tutup min 🙏) Gw ingin ngerasain ivent aniv ini game 🙏 Kalo rehat dulu gak masalah ,yang penting jangan tutup min Gw berharap bisa kolab sama : 1. Nusantara droid war 2.mantradeva 3.Hati baja Tetep semangat andmin dan staf Code Atma 💪💪💪💪 Dan terimakasih",5,nice edite tutup min taun diperbaiki intinya sampe tutup min ngerasain ivent aniv rehat tidak tutup min harap kolab nusantara droid war mantradeva hati baja tetep semangat andmin staf code atma,bahasa atau cerita
"Tadinya mau nostalgia main ni game di hp kentang dulu g serung keluar masuk,ehh skrng di hp baru koneksi nya parah kalo battle sinyal full paket baru beli why???",2,nostalgia main hp kentang tidak serung masuk ehh skrng hp koneksi parah battle sinyal full paket beli,perangkat hp
Semuanya 5 star.. Tapi attack sedikit ditingkatkan... Setidaknya 5%.. Karena dengan power 100k plus melawan npc power 80k hampir seimbang... Tapi keseluruhan.. Saya suka kisah yg mistik.. Good job..,5,star attack ditingkatkan power plus lawan npc power imbang suka kisah mistik good job,bahasa atau cerita
"game apaan ini, masa mau kembali ke akun lama gabisa, mau main lagi malah disuruh buat akun baru lagi",3,akun main disuruh akun,koneksi
"Game ini sebenarnya udah bagus, cuma untuk atma yang lain boleh ditambah gak? Kayak Ken Arok, Ken Dedes, atau tokoh-tokoh dari berbagai kerajaan di Nusantara dan tokoh-tokoh legenda masyarakat? Sama tambah story yang maybe agak beda biar yang main jadi betah. Terus untuk gamenya masih agak nge-glitch gitu, mohon diperbaiki ya Dev",3,bagus atma ditambah tidak ken arok ken dedes tokoh tokoh raja nusantara tokoh tokoh legenda masyarakat story maybe beda main betah nge glitch gitu mohon diperbaiki ya dev,karya bangsa
"Dulu saya pernah main game dan cukup menyenangkan, cuma sayang ketika sedang main, app sering keluar sendiri. Sekarang sy mau main lagi tp ga bisa login di akun sendiri, sy harap bugnya cepat diperbaiki",3,main senang sayang main app main tidak login akun harap cepat diperbaiki,koneksi
Salah satu game terbaik yang pernah saya mainkan semoga yang terbaik untuk game ini THE BEST !!!!!,5,salah mainkan moga best,perangkat hp
"Gamenya bagus dari segi storynya, cuman perlu sedikit polesan aja",5,bagus segi storynya cuman poles,bahasa atau cerita
"Bagus banget gamenya, game idaman aku 💘, tapi saran dari aku maunya semua atma bisa bintang 5 soalnya udh bikin kunti ampe lvl max terus baru sadar kalo gabisa bintang 5, nyesek to the bone (cry ) tapi gamenya udh baguss banget wajib download, dan maunya bikin lebih detail pas karakter nyerang oh iya gamenya agak ngebosenin, aku ada saran... kalo bisa tambahin dongg event yang unyuk dengan hadiah yg membantu player",5,bagus banget gamenya idam saran atma bintang kunti ampe lvl max sadar gabisa bintang nyesek bone cry baguss banget wajib download detail pas karakter nyerang oh iya ngebosenin saran dongg event unyuk hadiah bantu player,bahasa atau cerita
"Saran kalau Pas masuk tambahin fitur skip tutorialnya, Soalnya Pas nggak sengaja ke hapus terus download Lagi malah Tutorial lagi, terus Diamond nggak cukup jadi terus dipaksa sampai kuhapus lagi gamenya. Semoga didengerin ya, aku soalnya mau main Lagi tapi kehalang Tutorialnya yang nggak ada fitur skip nya 🤧",1,saran pas masuk fitur skip pas sengaja hapus download tutorial diamond tidak dipaksa kuhapus moga didengerin ya main kehalang tutorialnya fitur skip,bahasa atau cerita
Maaf kak saya mau kasih saran kalau mau ngasih tutorial itu sekalian soalnya pas saya baru main di hari pertama gak ada tutorial summon jadi pas hari kedua baru ada tutorial summon dan diamond saya habis di hari pertama,3,maaf kak kasih saran ngasih tutorial kali pas main tidak tutorial pas tutorial summon diamond habis,bahasa atau cerita
Gamenya keren min semoga story gamesnya bakal tetap dilanjutin... KEREN AGATE !!!,5,keren min moga story dilanjutin keren agate,bahasa atau cerita
"Gamenya bagus seperti pendapat dari yang lain, namun ketika sedang mulai chapter dan reset hari, chapternya otomatis complete yang membuat saya kehilangan alur cerita",5,bagus chapter reset otomatis complete hilang alur,bahasa atau cerita
"Broo, habis turorial ga bisa ngapa ngapain malah item aja layar, cuman ada bgm musiknya aja",5,broo habis turorial tidak ngapa item layar cuman bgm,bahasa atau cerita
"Game ini merusak hp saya, saat membuka apps ini ,hp menjadi blank dan tidak bisa di sentuh ,",2,rusak hp buka apps hp blank tidak sentuh,perangkat hp
"Game nya bagus sih, story sama strategi nya ngena banget. Tapi saya kasih bintang 3 karena in game nya masih banyak saya temukan bug, terutama pada bagian story quest nya. Contohnya bahasa yang masih belom ke translate, dan story yang muter di situ situ aja padahal udah dipencet berkali kali. Dan yang paling saya sayangkan adalah bug in game battlefield nya, beberapa kali saya temukan Atma saya cuma maju mundur gak ngapa ngapain sedangkan musuhnya bisa nyerang. Saya tunggu perbaikannya yaa 🤗🤗",3,bagus story strategi banget bintang temukan bug utama story quest bahasa belom translate story muter dipencet berkali kali sayang bug battlefield temukan atma maju mundur tidak ngapa ngapain nyerang tunggu yaa,bahasa atau cerita
"Gamenya bagus, tapi kenapa kadang aku retire gabisa ya loading mulu pdhl jaringan bagus, dan saran,karakternya dikasi suara gitu atau animasi pas ulti.Dan storynya ditambah lagi dong😁",4,bagus kadang retire gabisa ya loading mulu pdhl jaring bagus saran karakternya dikasi suara animasi pas ulti ditambah,bahasa atau cerita
"Ini gmana, baru mulai maen suruh draw 10, tapi ga cukup diamond, malah ga bisa di skip atau pencet, aneh",1,maen suruh draw tidak diamond tidak skip pencet aneh,koneksi
Kenapa setiap saya login layarnya hitam dan ada tulisan android dibawah kirinya tolong segera dibetulkan,3,hitam tulis android dibawah tolong dibetulkan,koneksi
Harus nya dg grafik tsb ada voiche chatnya.... Kalau misal tidak ada harus ada peningkatan grafik terutama animasi karakter,5,dg grafik voiche chatnya tidak tingkat grafik utama animasi karakter,bahasa atau cerita
Aaah. Ini saya udah nyoba ber kali2 kok ttp tdk bisa di mainkan. Saya sudah reset internet sama ceche ttp gk bisa. Tp giliran pake pulsa bru bisa😑,2,aaah nyoba ber ttp tidak mainkan reset internet ceche ttp tidak gilir pake pulsa,koneksi
"Desain charachter bagus, nuansa nusantara kental, semoga ada versi pc",4,charachter bagus nuansa nusantara kental versi pc,karya bangsa
saya suka sama game ini tetapi muncul banyak bug seperti jika kita terkena stun oleh barong stun itu tidak akan hilang sama sekali terkecuali kita punya counternya ya menurut gua si meresahkan,2,suka muncul stun barong stun tidak hilang kecuali ya si resah,bahasa atau cerita
Dev tolong atasi FPS dibeberapa fivece agar tidak drop,5,tolong atasi fps dibeberapa fivece tidak drop,perangkat hp
Sebenarnya dari overall sudah bagus cuman ada masalah pada saat login akun yang membuat akun saya hilang padahal sudah ditautkan menggunakan akun google dan ada kendala pada saat masuk game dipaksa untuk summon 10x padahal tidak ada diamond,4,overall bagus cuman login akun akun hilang ditautkan akun google kendala masuk dipaksa summon tidak diamond,koneksi
"Akun udah dikaitin malah ilang, jaringan bagus tapi lag parah, dulu nih game bagus sekarang malah mengecewakan",1,akun dikaitin ilang jaring bagus lag parah bagus kecewa,koneksi
Maaf ya ku kasih bintang 4 karena dulu aku punya akun di sini dari Facebook nah sekarang kok gak bisa login pake Facebook lagi pasal akun ku dulu banyak Hero op op loh tolong lah masak ulang dari awal lagi,4,maaf ya bintang akun facebook tidak pake facebook pasal akun hero op op loh tolong masak ulang,koneksi
Saya gabisa login akun lama padahal udah jauh pada tautan akun google,3,gabisa login akun taut akun google,koneksi
makaso buat deveveloper yg gak ngasi batasan expired hadiah buat beberapa hadiah tertentu ininngebuat sy seneg banget saat sy kembali bermain ini game dulu sy trakhir main hanya memiliki sekitar 1000 gemas sahja sekarang setelah sy klaim gems sy sudah 75k an berasa kek player top up ah bentar sy kan emang top up mulu di i game ya gi ana engak dpt kadita udah full star dan banyak atma limited yg full star dari awal karena top up ya ini karena developernya dermawan sekali pack nya gak mahal mahal,5,makaso deveveloper tidak ngasi batas expired hadiah hadiah ininngebuat seneg banget trakhir main milik gemas sahja klaim gems kek player top ah bentar emang top mulu ya gi ana engak dpt full star atma limited full star top ya developernya dermawan pack tidak mahal mahal,bahasa atau cerita
"Sip udah bagus, tapi sudah d ubah bahasa ngga bisa bahasa Indonesia",3,sip bagus ubah bahasa bahasa indonesia,bahasa atau cerita
"Halo pihak Agate games, saya sudah mendownload dan memainkan game ini, kesan saya mengenai game ini lumayan menarik, cerita yang dihadirkan sedikit berat namun masih oke bagi saya, dan gameplay-nya juga bagus, cuman yang membuat saya kecewa adalah walaupun saya sudah memilih bahasa Indonesia namun menu, deskripsi game, profil, dll masih memakai bahasa Inggris, dan satu lagi tolong gambarnya dibuat lebih hd lagi",4,halo agate games mendownload main kesan tarik cerita dihadirkan berat oke gameplay bagus cuman pilih bahasa indonesia menu deskripsi profil dll pakai bahasa inggris tolong hd,bahasa atau cerita
Halo kak game ini berapa MB/GB?,5,halo kak mb gb,perangkat hp
Ku kasih 4 bintang soalnya campaing nya ga jelas masa Hero gw Menag damage sama level dan juga item gw dah bagus masih aja kalah terus masa Hero musuh nya ada efek yg seharusnya ga dia punya terus kaya kebal ultimate dari Hero gw ga jelas emang campaing nya ni game,4,kasih bintang campaing tidak hero menag damage level item dah bagus kalah hero musuh efek tidak kaya kebal ultimate hero tidak emang campaing,bahasa atau cerita
"Nih game maunya gimana sih? Apa udah dead game? 2020 saya main nih game ketika masih beta, enak bgt, lancar, gw suka bgt. Abis rilis resmi, gw ga main. Baru kemaren main versi ini, kok ngebug parah. Mau login via gmail malah gamenya restart. Kayak berat bgt padahal cuma game wayang. Pas login, terus awal selesai tutorial pertama, malah hitam doang, sampe gw tunggu 20 menit ttp hitam. Padahal msih pakai di hp yg sama. Udah 2 tahun masih kayak early access.",1,maunya dead beta enak bgt lancar suka bgt abis rilis resmi tidak main kemaren versi ngebug parah login via gmail restart berat bgt wayang pas login selesai tutorial hitam doang sampe tunggu menit ttp hitam pakai hp kayak early access,perangkat hp
Kata teman gue game ini jelek dia orang indonesia tapi gak bangga sama game indonesia tolong yang nama nya Muhhammad Verdi saputra,5,teman jelek orang indonesia tidak indonesia tolong nama muhhammad verdi saputra,bahasa atau cerita
Saya sudah mengirimkan email kepada developer game ini dan agar para developer game ini bisa memperbaiki bug yang saya temukan ini terimakasih. tapi saya tidak akan memainkan game ini sampai game ini selesai!!!. Itu karena saya tidak bisa melakukan apa apa lagi !,2,kirim email developer developer bug temukan tidak main selesai tidak laku,bahasa atau cerita
Knp game Indonesia di YouTube viewer nya dikit? Tapi gua salut Ama anak bangsa Indonesia semangat Brother 🤘🤘🤘,5,knp indonesia youtube viewer dikit salut anak bangsa indonesia semangat brother,karya bangsa
"Game nya keren pisan, kalo developer nya kasih gift jadi bintang 10 nihh",5,keren pisan developer kasih gift bintang,bahasa atau cerita
"Sebenarnya saya ingin mendukung permainan ini skan tetapi rate gacha hero kalian untuk pemain baru sangat tidak bersahabat alias rste gacha hero kalian sesat. Ku sudah beberapa kali mencoba hasilnya amat membagongkan, susah amat dapat hero *5 mentok *4 gak seperti game yang lain pasti dapat walaupun 1 hero *5 di awal main.",2,dukung main skan rate gacha hero main tidak sahabat alias rste gacha hero sesat coba membagongkan susah hero mentok tidak hero main,bahasa atau cerita
YaAllah udah ada update pun gw smpe skrng blum bisa mainin game ini😢,4,update smpe skrng blum mainin,bahasa atau cerita
Game nya seru sih tapi ada ngeleg nya tolong di perbaiki ya,4,seru ngeleg tolong perbaiki ya,bahasa atau cerita
Halo dev. Ini game bug apa kenapa ya? Kenapa setelah prolog awal game stuck di blackscreen yg ada musiknya itu ya. Di tungguin tapinkok gak mulai2,1,halo dev bug prolog stuck blackscreen musiknya ya tungguin tapinkok tidak,koneksi
"Game nya bagus tapi kenapa ya sering ngelag ,suka ada tulisan check connection padahal Wifi-nya lumayan bagus , mohon untuk diperbaiki",3,bagus ya ngelag suka tulis check connection wifi lumbago bagus mohon diperbaiki,koneksi
Gak bisa login pake akun google,1,tidak pake akun google,koneksi
"Mbunuh musuhnya lama,,, bin 2 az y dan sory aku uninstall",2,mbunuh bin az sory uninstall,koneksi
"Saya suka game ini, saya bahkan suka cerita nya tapi disini seperti nya tidak ada fitur untuk baca ulang cerita. Bisakah kalian membuat fitur supaya bisa membaca ulang cerita nya?",5,suka suka cerita tidak fitur baca ulang cerita fitur baca ulang cerita,bahasa atau cerita
"Mohon maaf developer game code Atma , nah saya mengalami keadaan yang cukup aneh, akun saya stuck di tutorial untuk meng draw Atma sedangkan saya tidak ad diamond untuk draw jadi saya stuck di situ dan tidak bisa dimainkan apakah ad solusi untuk akun saya apakah saya harus contact costumeer service??",1,mohon maaf developer code atma alam aneh akun stuck tutorial meng draw atma tidak diamond draw stuck tidak dimainkan solusi akun contact costumeer service,koneksi
"Min Knp Wktu loading logo telkom sama melonnya lama ya , pdhl jringan buat game lain aman aman aja , ram jg msih sisa banyak knp ko stuck di logo melon ama telkom mulu , udah di reboot hpnya , instal ulang 3 kali , hapus data masih tetep ga bisa gmana dong ? Device (mi 3s)",2,min knp wktu loading logo telkom ya pdhl jringan aman aman ram msih sisa knp ko stuck logo melon telkom mulu reboot instal ulang hapus data tetep tidak gmana device mi,koneksi
"menunggu update update lanjutan dan semoga untuk kedepannya karakternya tidak kaku, btw... luarbiasa deh untuk pengembang dan dev. gamenya, terbaik 👍💯 Edet: tidak ada perkembangan yg signifikan, event gitu"" aja, upgrade atma dan enchant senjata semakin mahal sementara profit untuk current nya tidak sebanding, disisi lain karakternya tetap kaku, tidak ada pergerakan yang wah dan hanya naik turun kek baloon",5,tunggu update update moga tidak kaku btw luarbiasa deh kembang dev edet tidak kembang signifikan event upgrade atma enchant senjata mahal profit current tidak banding disisi kaku tidak gerak turun kek baloon,bahasa atau cerita
"Halo halo code Atma, kalo di labrinin mau tutup jendela pop up : resurect all Atma itu (lupa namanya) dan lihat kondisi atma, jangan harus pencet tombol silang dong, aku suka pencet di luar pop up tapi g ketutup, padahal bolak balik kejadian, tapi gitu lagi gitu lagi (kurang nyaman UX-nya)",5,halo halo code atma labrinin tutup jendela pop resurect atma lupa namanya lihat kondisi atma pencet tombol silang suka pencet pop tidak ketutup bolak nyaman ux,bahasa atau cerita
"Stuck setelah tutorial. Setelah saya keluar dan masuk lagi ke game,sudah gak bisa lagi,stuck di loading,sangat mengecewakan.",1,stuck tutorial masuk tidak stuck loading kecewa,koneksi
"Baru download lagi semenjak awal rilis Kita Lihat Kemajuannya, Sukses teruss",5,download semenjak rilis lihat sukses teruss,karya bangsa
"Kecewa,dengan ngefreze nya layar hitam patah"" Mau kirim ke email tpi email nya ga valid sungguh membanggongkan developer nya, pantes game nya sepi",1,kecewa ngefreze layar hitam patah kirim email tpi email tidak valid membanggongkan developer pantes sepi,koneksi
"Perfecto~ Nice update, saya sudah cukup puas tapi masih mengharapkan perkembangan yang lebih lagi",5,perfecto nice update puas harap kembang,bahasa atau cerita
Terima kasih banyak atas sarannya sekarang code Atma ku sudah bisa setelah membersihkan Cache,5,kasih sarannya code atma bersih cache,bahasa atau cerita
"Sejauh ini gamenya bagus banget, enak dan mudah mainnya. Dan aku senang banget pas main game ini. Wajib didownload",5,bagus banget enak mudah senang banget pas wajib didownload,bahasa atau cerita
Akun ilang 3 kali padahal udah di tautin pake akun google+bug pas tutorial 10x summon please perbaiki:'(,1,akun ilang tautin pake akun google bug pas tutorial 10x summon please perbaiki,koneksi
"Hi kak,gamenya bagus, aku suka(banget) , aku baru main lagi setelah 1 tahun hiatus, sebenernya aku mau kasih bintang 5 tapi aku punya masalah, fitur bhs Indonesia nya udah ada, tapi sayangnya untuk penjelasan nya masih ada yg bhs Inggris, agak sulit di mengerti, jadi tolong di perbaiki lagi, trus untuk jaringan saya masih bisa mentoleransi, tapi saya harap kedepannya jaringannya makin bagus(tidak ada lag),owh ya dan saya punya saran untuk mengadakan fitur interaksi dengan atma,ok terimakasih😁👍",4,hi kak bagus suka banget main hiatus bintang fitur bhs indonesia bhs inggris sulit erti tolong perbaiki jaring mentoleransi harap bagus tidak lag owh ya saran fitur interaksi atma oke,bahasa atau cerita
"Gamenya bagus mantap! Hanya saja entah kenapa saat bermain sering mengalami frame drop bahkan diawal game yg bikin tidak nyaman saat bermain tolong Dev diperbaiki lagi, padahal kelihatan gk berat tapi makan ram yg sangat banyak sehingga membuat fps drop, semoga cepat di fix sama dev karna saya sangat suka dengan game ini!, Semangat terus dev mengembangkan game code Atma. Saya akan mengembalikan bintang ketika sudah di fix fpsnya thanks dev",4,bagus main alam frame drop diawal tidak nyaman main tolong dev diperbaiki lihat tidak berat makan ram fps drop moga cepat fix dev suka semangat dev kembang code atma bintang fix fpsnya thanks dev,bahasa atau cerita
Bagus banget game nya storynya mendalami dan menarik untuk dibaca cma masi kurang bahasa indonesia di story atma aja sii tapi udah bagus kok semuanya makasii banget agate udah nyiptain game yang seru hehe Oh iya semoga story juga lebih diperbanyak ya soalnya aku suka banget sama alur storynya,5,bagus banget tarik dibaca cma bahasa indonesia story atma sii bagus makasii banget agate nyiptain seru hehe oh iya moga story ya suka banget alur,bahasa atau cerita
Knp g bs login akun google,2,knp tidak bs login akun google,koneksi
"Suka banget sama pelayanan cs agate nya, walaupun aku ga ngerti tapi tetep di respon baik dan di jelasin sama cs nya. sempat eror berapa kali juga tapi akun nya bisa di pindahin ke akun yang baruu, pokok nya luv banget sama pelayanan nya🥰❤️ semoga selalu ada event keren kedepan nya",5,suka banget layan cs agate tidak ngerti tetep respons jelasin cs eror kali akun pindahin akun baruu pokok luv banget layan moga event keren kedepan,bahasa atau cerita
"Kenapa y pas ganti bahasa ke indo malahan tetep aja bahasa inggris, padahal sdh dicoba brp kali tetap aja gak berubah",4,pas ganti bahasa indonesia tetep bahasa inggris sdh dicoba brp kali tidak ubah,bahasa atau cerita
"Stuck at summon tutorial, have to purchase diamond",2,stuck summon tutorial purchase diamond,perangkat hp
"Setelah rilisnya code atma akhirnya banyak character indonesia terekspos terimakasih saya sebagai player RPG, idle, adventure sangat bangga",5,rilisnya code atma indonesia ekspos terimakasih player rpg idle adventure,bahasa atau cerita
Tolong adakan fungsi Party agar para player bisa melakukan formasi dengn lebih praktis,4,tolong adakan fungsi party player laku formasi dengn praktis,bahasa atau cerita
Mohon maaf sebelumnya.... Saya adalah akun lama CODE ATMA... SAYA HANYA INGIN MEMBERI TAHUKAN... bahwa terdapat masalah... Di mana saya tidak bisa login kembali menggunakan akun AGATE ( akun resmi )..... Saya mohon untuk di perbaiki dan saya harap bisa login kembali... Sudah 3x saya mendownload ulang kembali game ini... Agar bisa saya login kembali akun saya.... Namun justru tidak bisa masuk.... Saya mohon kepada *CODE ATMA* tolong bantu saya.... Saya hanya *INGIN LOGIN* kembali...,2,mohon maaf akun code atma tidak akun agate akun resmi mohon perbaiki harap mendownload ulang akun tidak masuk mohon code atma tolong bantu,koneksi
"Gamenya bagus, tapi karakter nya lebih bagus di jadikan 3D biar jadi lebih epic",5,bagus karakter bagus jadikan epic,karya bangsa
"Saya player lama, baru2 main lagi pas dibuka kok heronya jadi berubah ? Terus hero2 legend yg saya dpatkan dlu itu sudah tidak ada lagi..why knp bisa bgtu.",1,player main pas dibuka ubah legend dpatkan tidak knp bgtu,bahasa atau cerita
"Tolong dong buat Dev nya Rate buat dapet B5 nya di perbesar, masa banner rate up serasa ky banner biasa, sama sering dikasih Atma B5 yg bukan murni B5 ky Gatot, Rahwana dll. Gacha nya udah abis sekitar 30K diamond",3,tolong dev rate perbesar banner rate ky banner atma murni ky gatot rahwana dll gacha abis diamond,karakter gacha
"Makasih banyak, karena fitur bahasa indonesia untuk mode story udah dikembalikan.. jd inget waktu habis kasih feedback buat ngasih cerita origin buat masing2 karakter langsung dikasih patch-nya, ini tandanya developer bener2 ngedengerin pendapat playernya.. terus berkembang, sukses terus ya agate, kami bangga sama karya kalian.. 👏👏😁👍",5,fitur bahasa indonesia mode story dikembalikan jd habis feedback ngasih cerita origin karakter patch developer ngedengerin kembang sukses ya agate karya,bahasa atau cerita
Jlk bgt nga usah di dowload pasti bakalan nyesel,1,jlk bgt nga dowload nyesel,karakter gacha
"Jelek banget sekarang aku gk bisa login,udh sebulan gini. Ntar aku unistal ajlah",1,jelek banget tidak sebulan unistal ajlah,koneksi
"Halo kak, event store-nya dimana ya? Kok saya ga nemu. Cuma ada general store. Mohon panduannya ya kak, makasih.",5,halo kak event store dimana ya tidak nemu general store mohon ya kak,bahasa atau cerita
Gamenya bagus banget code Atma dengan grafik anime Indonesia tapi atamnya adalah mahluk mitologi dan hantu⭐⭐⭐⭐⭐⭐⭐👍🏽👍🏽👏🏽👏🏽,5,bagus banget code atma grafik anime indonesia makhluk mitologi,karya bangsa
Gemenya bagus cuma saya ada kendala saat selesai tutorial tiba tiba black screen jadi gak bisa pencet apa apa,4,bagus kendala selesai tutorial black screen tidak pencet,koneksi
"Ini gimana akun saya hilang, login gk bisa, malah pakai akun guest, padahal dah punya akun agate",3,akun hilang login tidak pakai akun guest dah akun agate,koneksi
"Ku akui ni game bagus. Tapi saya tu baru main gamenya selalu stuck terus, tombol di dalam game ngga ada yang bisa di tekan kalo udah selesai tutorial. Aku udah coba hapus data dan berulang kali mengganti akun, tapi hasil tetep sama aja. Aku minta tolong diperbaiki, soalnya aku mau main tapi malah kek gini. Terus cuma minta satu tambahan lagi, ganti dong icon app pas sudah di install dengan icon yang sama kayak di playstore.",5,akui bagus tu main stuck tombol tekan selesai tutorial coba hapus data ulang kali ganti akun hasil tetep tolong diperbaiki main kek ganti icon app pas install icon playstore,koneksi
"Udh lama nggk main ini, akhirnya bisa main lagi...udh gitu banyak banget karakternya",5,tidak main main banget,perangkat hp
Sejauh ini ceritanya bikin penasaran bgt wkekekekkeke semoga makin sukses biar bisa makin bagusin Grafik sama UI gamenya aamiin,5,penasaran bgt wkekekekkeke sukses bagusin grafik ui aamiin,bahasa atau cerita
