X,y
jalan cerita bagus oke mitologi mitos indonesia kayak pocong jelangkung teman teman v ya masuk tolong musik seram biar horor semangat dukung,1
keren banget manten bagus atma,1
seru ngeleg tolong perbaiki ya,1
kurasa fitur fitur sosial kesan,1
bagus tpi tolong pas gameplay karakterny kaku mhon perbaiki semangat maju,1
bagus bgt berat ram apalah daya spek kentang tidak melajutkan main lg kagum semangat dev nyiptain,1
terfavorit story line tarik bagus diperpanjang seru bgst kembang,1
alam main buruk main ngelag mohon,-1
asli keren bgt atma min tambahkan barong kuyang generuwo buto ijo macan putih legend,1
bagus banget pas dimainin berat banget hp ram,1
moga sukses tidak suka kasih rating suka tidak suka anak bangsa,1
sip bagus ubah bahasa bahasa indonesia,1
instal suruh update playstore,-1
bagus dri segi story gameplay tarik grafik bagus kreatif deh masuk dlm jaring tidak stabil susah masuk jdi klu perbaiki harapkan kembang,1
good fight tombol auto ganti warna gtu biru biru gimana,1
bagus story chapter tidak muncul suka baca story mohon diperbaiki donk,1
pribadi bagus battle animasi seru ngebosenin cerita bagus kadang auto battle trs liat ceritanya v,1
keren banget sumpah anak bangsa uh kaya semangat ya kak gampang banget diamond coin free player pokoknya recommended deh saran kak full selesai kembang chapter versi pc biar seru maaf nambahin kak saran kasih chance pilih diserang tidak automatic mulu,1
bagus ditambah mode offline enak,1
tarik mudah dimainkan saran fitur formasi atma mudah bentuk simpan formasi ragam main pilih formasi pakai fitur lihat skill diformasi mudah lihat skill tidak masuk lihat char overall,1
main disuruh update play store gaada update aplikasi gimana,1
bos tidak masuk lancar,-1
bagus njir nyaaa bales developer ramahhh suka suka,1
main nyata sadar shin megami tensei overall konsep bagus visual novel keep good work,1
ki prana lewu gus shole pati download app tidak ya,1
keren mengubah pandang setan v keren ulti animasinya chara gerak,1
bagus banget tolong tambahi kakek cangkul nenek gayung petrus ahol jeruk buto ijo sukses support kian terima,1
seru main mitologi lokal,1
horror sampe sampe sagne,1
gamenya main semangat developer bagus,1
main atma lvl tau atma,1
bagus saranin ditambahin event,1
oke main sip kembangkan saran pas skil kamera ngezoom heronya tolong tajamkan biara tidak blur bahasa sistem bahasa inggris bahasa bahasa indonesia tolong dioptimalkan,1
ange min v ko diapus ulas v,1
maen suruh draw tidak diamond tidak skip pencet aneh,-1
main cerita janji art bagus battle tinggal distribusi ditingkatin biar narik tukang gacha kayak f go arkangel dll indonesia maen ginian tarik ginian ya ditambah deh stock chara sistem ultimate move gitu kayak noble phantasm fgo tarik good job,1
bagus banget tinggal rawat server lag loading klw desainnya ditingkatin great job,1
maaf kak ngestuck ya buka kemarin kaya kak install ulang gimana ya kak,1
tarik hantu temanya gambar hantu sukai fitur teman ya,1
keren semangat kakak kakak developer,1
pikir rpg tualang tarung atma sang damping selesai misi kuat atma tarung main huuuum nyata tidak cerita pecah hubung makhluk astral huuuum bosan,-1
ya lumbago seru biar tidak lupa indonesia cerita genre lestarikan biar tidak lupa,1
keren kak cocok suka baca cerita strategi rpg atmanya indonesia hantu makhluk legenda daerah battle background ubah gantung lokasi cerita asyik jaya kak,1
update story cuman sampe chapter 7 chapter battle battle doang seru ceritanya pengen banget kasna jadian,1
nyi blorong v minn semangat yaaa,1
yuhuuu anak bangsa tidak ribet mainin santai,1
hubungkan akun facebook google play disaat daftar salah tidak masuk mohon,1
lumbago kerasa horror cerita seru indonesia disulap jd lucu kerenn,1
bagus banget banget banget lopyu,1
suka story soundtrack animasi bintang dah,1
min jadikan film animasi bagus cerita,1
kesal time sesi match harap kurangi banyaknya sesi durasi terima,1
bagus banget jaya lokal indonesia jujur bagus banget ya belah ngeleg ya hp oppo main free fire ngak ngeleg gimana ya tolong kasih solusi developer,1
bagus ringan saran battle dipilih mantep,1
bagus harap story update,1
baguss seru tambahkan chance dpt musuh lawan sj,-1
reconnect jam jam gameplay war butuh arah serang musuh story cakep karakter atma diperbanyak good semangat ya kk dev,1
beda stat atma kompadium stat atma mohon perbaiki kasih bintang biar cpt respons,-1
lokal klasik seru mainkan atma pakai battle bentuk seru semangat kembang,1
tolong bagus animasi ngeluarin skill atma kayak ngeluarin suara biar eyecthing,1
bagus segi cerita sajikan grafisnya lumbago bentuk atmanya keren simpan aplikasi butuh ruang tidak sampek gb berat ya hp lancar macet harusnunggu bentar main cepat batre hp habis beda main mobile legend adveture awet ya si keluh moga cepat diperbaiki,1
anjayyy bagus banget nihh gamee,1
tidak tau tidak pake guest habis selesai tutorial ngeblank,-1
bagus play tidak suka nikmati ceritanyay reconeck mulu pake telkomsel,1
gameplay bagus jalan ceritanya jga tarik best,1
awokawok nyata lho indonesia tch tch tch salut tu lihat bkan org nyiptain lepas bagus tidak urus blakangan salut sumpah laris dah,1
atma hilang bag penuh menggacha mengupgrade bag hilang,-1
bagus sayang event melatma nge bug tidak upgrade lv atma bag ilang item store ilang tidak upgrade lv atma saran tower susah kadang damge musuh tidak masuk akal masuk tower keatas,1
bagus banget maaf tidak cocok tidak mainkan,1
anjrit keren bet kembangin ya biar keren top tidak mahal parah keren abissss dah,1
min atma bintang yee pelit btw main kisar berat fps drop parah kadang klik kecepetan force close,1
asyik halang jaring jaring stabil problem jaring dicoba buka app butuh akses inet sampe youtube aman login gagal mulu stabil mampus susah atu gt p switch jaring pakai jaring seluler,-1
atmanya story oh iya tolong yaa,1
stuck laman melon tsel agate oolean masuk gameplay jaring lancar bantu,-1
rpg indonesia deh download tidak nyangka sebagus agate,1
bagus gameplay tampilan ditingkatkan utama nyerang,1
main levelnya pas back tidak tersambung akun trs code atma skrg jalan beda tidak bind,1
semangat kembangin setan minder,-1
semangat lanjutin projectnya konsep segi gerak diperhalus minimal afk saran,1
tau bagus kaya idle bagus cuman loading butuh internet lumbago kuat v,-1
bagus seru banget deh wajib dimainin,1
segi grafik hero bagus story semangat kembang,1
pas make karakternya kaga ya please try later,-1
singkat dah bagus story design karakter jd resolusi karakternya bit jd mohon tingkatkan tidak burem fitur fitur reset atma resource pakai upgrade atma kian terima kasih harap wujudkan,1
rusak hp buka apps hp blank tidak sentuh,-1
keren abis drpda moba berat,1
moga kedepannya karya anak bangsa kembang really appreciate,1
arpg seru angkat budaya indonesia story dibungkus ciamik,1
sensitif pencet menunya perluas pencet pencet susah nyata titik sentuh sebel wkwkkwkw overall bagusss suka pocong pake ucu banget,1
keren banget tinggal update bahasa indonesia keren,1
bagus suka battle fitur cancel skill ngatur ritme combo,1
tampilan gambar alur cerita seru,1
main isi senggang keren,1
please developer sempurna bangetzzzz,1
bodo devloper indonesia kasi bintang pokok,1
gameplay lumbago karakter jga keren keren cerita tarik best la asli indonesia dikala ngejual retire atma uda berlevel gold xp keluarkan naikin atma tidak dikembalikan ludes tidak tombol gamenya besttla,1
seneng negeri keren char hantu tengkorak kuasa gunung bos bos dedemit indonesia,1
bagus tolong lakukan balancing suai mantep abis kembangkan visual battle coba gerak animasi karakter biar bagus terima,1
bug masuk gamenya cuman hitam reconnect sinyal bagus bagus,1
bagus tpi gagal hubung pdhal sinyal bagus oh nice,-1
bagus tpi saran ye pas msuk apk code atma mnding masuk nma lengkap n tnggal lahir atma suai biodata seeker jdi random mcam primbon element atma hrus cerita beda imajinasi seru,1
sulit stuck cap lvl atma bosan,-1
gagal koneksi internet lancar tolong perbaiki,-1
love agate members suka banget bug bug tidak sedia asyik agate games love u,1
bagus busuk banget servernya dikit dikit hubung lancar youtube lancar pas buka pencet hubung pencet hubung males,-1
single summon dpt atma bintang jarang bintang coba bintang single summon level,1
bagus lumbago horror pas malem seruu seneng banget karya anak bangsa sebagus suka loading jaring bagus diperbaiki,1
main memiki app code atma stonk,1
lumbago seru khas indonesia tarik salut developer kembangkan,1
bagus min tolong soulnya dimudahin adain event khusus cari soul stuck lvl,1
main mekanisme gameplay rpg bilang simpel grafik lucu kenal mitologi indonesia santai asyik storynya asli tidak kerasa main penasaran,1
nusantara droid war webtoon,1
gilaaaa anjirrrr seruu bangeeet fixx lo hrus bnget unduhh gilaa bawa latar kisah legendah indonesia bener mantap bos indonesia tidak orang pintar cuman support dkungan perintah ah cuman ngasih saran tolongg yaaa deploverrs bug diprhtiin asyik ngegmae tba sndri wlpun tidak trllu sring tpi agk risih heeh kselurahnnya worth ittt bngett buru donlod anjim w jmin tidak nyesel,1
gameplay bagus ditingkatkan aspek animasi karakter,1
seru inspirasi indonesia tau urban legend indonesia tambahkan fitur sekers klub guild ayo dukung indonesia,1
hi kak suka sm knp yah apk tidak bs menganti bhs indonesia bs erti bhs alur ceritanya kian,1
keren gamenya cuman event bagus,1
suka tutorial coba dipersingkat tambahkan fitur beli gold dibayar diamond gambar tidak diplaystore,1
dukung bagus saran coba depeloper komik respons bagus plot cerita anti mainstream b,1
mantab jiwaa hantu tidak serem,1
halo bagus banget tidak nambah ya tolong kak developer cerita ngandalkan fans doang,1
wow bagus banget hantu indonesia tarik terimakasih tunggu tunggu,1
anjrit seriusan mbah kunti fix download plissssss ya saiton negara terima,1
hantu indonesia suka jelangkung v lucu,1
legenda nusantara sarannya tolong story scene tambahkan efek nambah bangun cerita scene kerumun chapter ubah bahasa kedalam bahasa indonesia,1
tarik wajib coba karakternya keren keren,1
mantap jiwa anak bangsa nomor,1
miris tidak indonesia gda bahasa indonesia,-1
sumpah keren bngt mengyngkap misteri jalan cerita bagus suka banget dah,1
mantap tambain atur ganti akun min,1
aktifkan fitur teman guild,-1
bagus tidak paksa pakai akun guest tolong diperbaiki salah terima,-1
bagus mantap indonesia kadang lagnya tidak parah ganggu dikit pas,1
kasih sistemnya hp kentang coba main,1
bagus tolong ganti hero hero sdh tidak kepake exp gold kembalikan bayar diamond tidak cape ngumpulin,1
suka aplikasi komik darwin games inspirasi,1
ngebug use shard duyung story,-1
bagus bgt tarik angkat serial anime laku keras sayang bgt tau,1
tidak chapter u developer,1
suka banget indonesia bangett hawa mistisnya cuman slow respons hape kentang,1
budaya adat indonesia nkri harga mati,1
bagus dikoneksi jaring jaring ngebutt lancar youtubean lancar code atma buffering lgii main tolong dev perbaiki lgii yaa update saran kembang ramai thanks,1
keseluran bagus banget tidak bug anak bangsa semangat dev permasalhkan tidak bahasa indoneska,1
sendat dpt atma keren susah,1
tidak tau knp pencet delay tidak ganti pas nonton jalan ganti bahasa indonesia pas ampe pake bahasa inggris emang blom bhs v tuber main pake bahasa indonesia tidak,1
bagus seeprti promosi mudah mentok lemah story tunggu,1
good engga beda dikit bagus banget jalur ceritanya pikir ya ramai fate gran order,1
keren banget tarik alur cerita bagus atma sukses,1
menginstal ulang stuck hp redmi ram tidak,-1
kayak coba beh seru gg developer story lumbago,1
bagus tolong perbaiki sound skill air restoration ganggu,1
wow hero leak tidak tolong tambahkan ya tunggu next update,1
tingktin lgi visual effect skill,1
ayo dukung karya anak bangsa,1
cocok maen angkot lgi nunggu tipikal cepat nge bosenin jdi imbang event fitur basic attack kasih animasi dah,1
main tros pas update pas mo update play store nyata update pas login disuruh update padahl update tros dihapus ulang ttp kek gtu mohon dibenerin,1
seru banget suai thank u agate,1
tidak link account code atma force close tidak hapus cache force close izinkan akun tolong cerah kasihan akun bagus,-1
overall keren keren dibikin landscape,1
dimainkan jam alam freeze hilang koneksi tidak dimainkan pilih hero sistem rupa skip battle pilih city cepat battle sistem synth gabung hero dipermudah gold cepat dll,1
mantap alur suka alur,1
bagus unik banget pas ceritanya moga mulus hidup biar gameplay seru,1
keren parah si oh iya min karakter ocong min biar mantep gtu makasihhh,-1
keren indonesia cuman pas update pake bahasa inggris tidak diganti bahasa indonesia bingung,1
cintai produk lokal kl animenya hehe bagus,1
mending oth kaga pelit idle,-1
sukaa bangeeett sma nyangka maen dpt kandita pkoknya kecewa dh agate,-1
bagus banget ngk boong bagus banget,1
story bagus misteri hubung hubung salah wajib download kawan team agate kembangkan story kendor,1
bug zaman beta tidak kaitkan akun tutorial summon tidak diamond keluh tutorial bug arti salah developer donk,-1
stuck layar item abis tutor yak tolong,1
seruuu banget anak bangsa deh tunggu event tarik,1
coba pas tarik untung tagih redaksiangan hehe btw emng keren penasaran komen bagus download utk ngebuktiin tidak bohong dev indonesia emng bnr wow tidak tau bilang,1
btw main pake combo tidak,1
baus kode geratia daimon momoycodeatma,1
bagus kadang retire gabisa ya loading mulu pdhl jaring bagus saran karakternya dikasi suara animasi pas ulti ditambah,1
tidak kendala bagus saran ditambah sistem teman,1
love much especially pocong cool,1
kisah mantaaap banget tamat nunggu update tan update tan perbaiki bug yah,1
overall bagus min pas kelabirin jd lemot ya tolong penngunaan ram diperkecil fitur dilabirin fitur pinjem hero pas dilabirin good job,1
bagus disertai cerita tarik,1
lihat uti seksi w ngaceng anjing,1
bagus suka among us,1
keren banget cuman kuran suara doang,1
minggu lgsg srikandi bintang aq ngasih saran atmanya nyerang kasih motion alias animasi gerak biar bagus sukses cipta anak bangsa,1
dunia fantasi nusa bagus exotis modern atma keren story khas indonesia salut,1
stuck pas gedung ya mohon kasi saran fix kak,1
seru banget karakternya ny lucu lucu bagus banget suka banget hae rpg bumbu bumbu misteri bagus recomended,1
tolong perbaiki animasi biar tidak lihat kaku,-1
tidak stuck loading screen,-1
bagus update playstore update tidak dimainin ralat serem min jaring lancar koneksi jaddi kebuka,1
tolong bahasa indonesia biar nikmat,1
gini ubah bahasa indonesia gimana yh ato tahap tidak inggris language tidak dipencet download penuh data pake b inggris yhh inggris rada pen ngituin chap diupdate,1
seru banget jengkel tombol restartnya bagus,1
suka baget saran nam gaib indonesia bro adaptasiin dlm knpa nuansa bangga budaya semngat developer maju indonesia,1
bagus dev ramah ngasih reward story bagus bet op best dah pokok v,1
seru semangat kren khas indonesia,1
suka banget alur ceritanya kerasa banget goodjob mimin adain event spesial sma chapter sma atma,1
smt destiny child indonesia,1
semngat dev kembangkan kualitas,1
tombol emng tidak min emng tidak keliatan,-1
seru banget tolong maintenance jam sore sore,1
keren idle best line perkirakan karakternya combo sempurna karakter best min tolong kasih menu reset atma material upgrade balikin player biar mudah salah upgrade reset enak please,1
bagus koneksi berat maen laen lancar disconnect semangat kembangin sampe sukses,1
bagus seru tambahkan story isi suara karakternya min biar seru sukses,1
sebel banget login susah,-1
best rpg local dev,1
bagus kak btw adain fitur raid bossnya min clan war rebut wilayah mistis seru min,1
moga keren ya mulusin,1
fps bang bagus kutunggu yaaa,1
bagus sekelas android hehe,1
bagus sang bagus suka tidak suka ngelek mainin tolong admin jaring benerin,1
pengen cuman simpan tidak ya,1
suruh banget sumpah atma kawaii kawaii anjir trs hadiah tidak pelit pelit oh ya tidak bahasa indonesia ya bahasa inggris bingung baca agate gimana terima,1
developer online offline tolong harga diamond top bagus sukses develop,1
anak bangsa emang keren wow amaziiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiing,1
bagus banget tolong sempurnakan ceritanya moga adaptasi novel gambar komik animasi film titik terkuat potensi dikembangkan diadaptasi bentuk karya keren mantap,1
bodoamat p pls benerin koneksi buka yt browsing lancar pas masuk koneksi lost parah komentar negatif update koneksi p koneksi tidak benerin update kamvret nambah event nambah hero kamvret koneksi benerin hp poco ram rom provider simpati,-1
seru bkin side mision pvp rewards elixir item rank susah dpt main mision dpt duit diamond cerita lbh desa seru,1
bagus bagus banget ya event atma gerak battle kadang macet dimainin jangka foto profile player pojok kanan error masuk gambar devault cowok rambut cokelat tidak diubah karakter musuh kuat atma player labyrinth tower tank useless battle rendah,-1
lelet unistal mnit main ttp kluar masuk ajha ttp lelet maaf unistal,1
bintang bagus fitur tarik update bagus barong kuntilanak pocong diambil hantu indonesia,1
atma synth permudah pakai atma lv contoh synth atma gatot kaca atma gatot kaca lv atma moga saran dibaca,1
bro code atma bagus sampe doujin mantap jiwa bro,1
nemu bagus keren serulah,1
bagus suka tolong storyline ditambahin,1
pas ganti bahasa indonesia tetep bahasa inggris sdh dicoba brp kali tidak ubah,1
halo saran fitur transfer level atma atma lvl dipertimbangkan,1
bagus banget tarik dibaca cma bahasa indonesia story atma sii bagus makasii banget agate nyiptain seru hehe oh iya moga story ya suka banget alur,1
jujur pribadi ngeliat plagiat afk arena yabg,-1
keren yah lokal pride jam update buka playstore notofikasi mohon perbaiki,1
overall bagus saran modifikasi karakter atma gerak enak pandang like,1
suka mengasikkan penuh kejut tidak suka tidak dimainin versi ganda dual dibuka coba akun diperbaiki ya,-1
suka jalan ceritanya keren,1
bagus tarik bagus sinambung grafik desain karakter atma bagus bg musik cerita suasana masuk koneksi koneksi gagal jaring kondisi okey nge yt online semangat devloper indonesia semangat karya,1
keren seru mantep dah tim agate knp cumn bahasa ngk baca nawarin server global tim bilang bahsa indonesia sabar smoga dev maju yaa seru dah,1
gameplay bagus story bagus art bagus stuck log jarang,1
sulit upgrade level heronya kalah,-1
gem semangat ya gem,1
rpg turn base indonesia bahasa indonesia,1
bagus kak fitur tarik gambar alur kerasa baca komik korea bintang fitur bahasa tidak ganti bahasa indonesia,1
grafik alur tarik tolong perbaiki playstore tidak update update,1
seru banged mama atma jail tetangga atma terima kasih agate,1
indonesia seru abis ditunggu update tidak sabar blm smnggu clear,1
tunggu update text indonesia lg sukses bagus pokok,1
ayo ditingkatkan sistem ditambah atma,1
karya anak bangsa keren sayang kaku harap kembang signifikan,1
another afk arena better,1
mbak kuntilanak cantik awowowowo,1
bintang fitur cerita bagus kagum selesai ceritanya diharapkan update tambahkan cerita main main puas,1
bagus banget enak mudah senang banget pas wajib didownload,1
